polish_title,original_title,year,rating
Człowiek ringu,Cinderella Man,2005,"7,53"
Brudny Harry,Dirty Harry,1971,"7,53"
To wspaniałe życie,It's a Wonderful Life,1946,"7,53"
Snajper,American Sniper,2014,"7,52"
Fighter,The Fighter,2010,"7,52"
Billy Elliot,,2000,"7,52"
Plan doskonały,Inside Man,2006,"7,52"
To nie jest kraj dla starych ludzi,No Country for Old Men,2007,"7,52"
Podaj dalej,Pay It Forward,2000,"7,52"
Annie Hall,,1977,"7,52"
Znachor,,1981,"7,52"
A teraz coś z zupełnie innej beczki,And Now for Something Completely Different,1971,"7,52"
WALL·E,,2008,"7,52"
Oldboy,Oldeuboi,2003,"7,52"
Marzyciel,Finding Neverland,2004,"7,52"
Sugar Man,Searching for Sugar Man,2012,"7,52"
Z dystansu,Detachment,2011,"7,52"
Mama,Mommy,2014,"7,52"
Trzy kolory: Niebieski,,1993,"7,52"
Rękopis znaleziony w Saragossie,,1964,"7,52"
Czas na miłość,About Time,2013,"7,52"
Ostatnia rodzina,,2016,"7,52"
Ścigany,The Fugitive,1993,"7,52"
Deadpool,,2016,"7,52"
Sędzia,The Judge,2014,"7,52"
Upadek,Falling Down,1993,"7,52"
Cast Away - poza światem,Cast Away,2000,"7,51"
Duża ryba,Big Fish,2003,"7,51"
Batman - Początek,Batman Begins,2005,"7,51"
Trzy kolory: Czerwony,Trois couleurs: Rouge,1994,"7,51"
Czerwony smok,Red Dragon,2002,"7,51"
Nóż w wodzie,,1961,"7,51"
Krótki film o miłości,,1988,"7,51"
To właśnie miłość,Love Actually,2003,"7,51"
Niebezpieczne związki,Dangerous Liaisons,1988,"7,51"
Hotel Ruanda,Hotel Rwanda,2004,"7,51"
Zimna wojna,,2018,"7,51"
Okręt,Das Boot,1981,"7,51"
Fortepian,The Piano,1993,"7,51"
Underground,,1995,"7,50"
Amator,,1979,"7,50"
Deadpool 2,,2018,"7,50"
Bez mojej zgody,My Sister's Keeper,2009,"7,50"
Misery,,1990,"7,50"
Piękna i Bestia,Beauty and the Beast,1991,"7,50"
Dogville,,2003,"7,50"
Mechanik,El Maquinista,2004,"7,50"
Teoria wszystkiego,The Theory of Everything,2014,"7,50"
Amelia,Le fabuleux destin d'Amélie Poulain,2001,"7,50"
Ocean's Eleven: Ryzykowna gra,Ocean's Eleven,2001,"7,50"
Czas zabijania,A Time to Kill,1996,"7,49"
12 małp,Twelve Monkeys,1995,"7,49"
Memento,,2000,"7,49"
Dzikie historie,Relatos salvajes,2014,"7,49"
Fargo,,1996,"7,49"
Harry Potter i Insygnia Śmierci: Część I,Harry Potter and the Deathly Hallows: Part 1,2010,"7,49"
1917,,2019,"7,49"
Życie na podsłuchu,Das Leben der Anderen,2006,"7,49"
Nienawiść,La haine,1995,"7,49"
Siódma pieczęć,Det sjunde inseglet,1957,"7,49"
Wesele,,2004,"7,49"
Nie lubię poniedziałku,,1971,"7,49"
Manchester by the Sea,,2016,"7,49"
Krucjata Bourne'a,The Bourne Supremacy,2004,"7,49"
300,,2006,"7,49"
Krwawy diament,Blood Diamond,2006,"7,48"
Jestem legendą,I Am Legend,2007,"7,48"
Tajemnice Los Angeles,L.A. Confidential,1997,"7,48"
Thelma i Louise,Thelma & Louise,1991,"7,48"
Kraina lodu,Frozen,2013,"7,48"
Urodzeni mordercy,Natural Born Killers,1994,"7,48"
August Rush,,2007,"7,48"
Gnijąca panna młoda,Corpse Bride,2005,"7,48"
Mustang z Dzikiej Doliny,Spirit: Stallion of the Cimarron,2002,"7,48"
Spotlight,,2015,"7,48"
Mały Książę,Le Petit Prince,2015,"7,48"
Lion. Droga do domu,Lion,2016,"7,47"
Dzień próby,Training Day,2001,"7,47"
Szklana pułapka,Die Hard,1988,"7,47"
Twardowsky,,2015,"7,47"
Harry Potter i Kamień Filozoficzny,Harry Potter and the Sorcerer's Stone,2001,"7,47"
Strażnicy Galaktyki vol. 2,Guardians of the Galaxy Vol. 2,2017,"7,47"
Ostatni Mohikanin,The Last of the Mohicans,1992,"7,47"
Morderstwo pierwszego stopnia,Murder in the First,1995,"7,47"
Miasteczko Halloween,The Nightmare Before Christmas,1993,"7,47"
Bulwar Zachodzącego Słońca,Sunset Boulevard,1950,"7,47"
The Maker,,2011,"7,47"
Za garść dolarów,Per un pugno di dollari,1964,"7,47"
Przełamując fale,Breaking the Waves,1996,"7,47"
Harry Potter i Książę Półkrwi,Harry Potter and the Half-Blood Prince,2009,"7,46"
Pora umierać,,2007,"7,46"
Persepolis,,2007,"7,46"
1900: Człowiek legenda,La leggenda del pianista sull'oceano,1998,"7,46"
Lokator,Le locataire,1976,"7,46"
Powrót,Vozvrashchenie,2003,"7,46"
"Tam, gdzie rosną poziomki",Smultronstället,1957,"7,46"
Między piekłem a niebem,What Dreams May Come,1998,"7,46"
Kolor purpury,The Color Purple,1985,"7,46"
Blues Brothers,The Blues Brothers,1980,"7,46"
Charlie,The Perks of Being a Wallflower,2012,"7,45"
Sweeney Todd: Demoniczny golibroda z Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,2007,"7,45"
Blade Runner 2049,,2017,"7,45"
Hooligans,,2005,"7,45"
Zabójcza broń,Lethal Weapon,1987,"7,45"
Zabić drozda,To Kill a Mockingbird,1962,"7,45"
Stalker,,1979,"7,45"
Patriota,The Patriot,2000,"7,45"
Zakochany kundel,Lady and the Tramp,1955,"7,45"
Prawdziwa historia,The World's Fastest Indian,2005,"7,45"
"Millennium: Mężczyźni, którzy nienawidzą kobiet",Män som hatar kvinnor,2009,"7,45"
Madagaskar,Madagascar,2005,"7,45"
Zabójczy numer,Lucky Number Slevin,2006,"7,45"
Indiana Jones i Świątynia Zagłady,Indiana Jones and the Temple of Doom,1984,"7,45"
Odlot,Up,2009,"7,44"
Las Vegas Parano,Fear and Loathing in Las Vegas,1998,"7,44"
Trzy kolory: Biały,,1994,"7,44"
Wszystko o mojej matce,Todo sobre mi madre,1999,"7,44"
"Poszukiwany, poszukiwana",,1972,"7,44"
Wejście smoka,Enter the Dragon,1973,"7,44"
Wróg publiczny,Enemy of the State,1998,"7,44"
Herkules,Hercules,1997,"7,44"
Metropolis,,1927,"7,44"
Cienka czerwona linia,The Thin Red Line,1998,"7,44"
Zło,Ondskan,2003,"7,43"
Potwory i spółka,"Monsters, Inc.",2001,"7,43"
Casino Royale,,2006,"7,43"
Upiór w operze,The Phantom of the Opera,2004,"7,43"
Vincent,,1982,"7,43"
Byliśmy żołnierzami,We Were Soldiers,2002,"7,43"
Tato,,1995,"7,43"
Avengers,The Avengers,2012,"7,42"
Dracula,,1992,"7,42"
Rejs,,1970,"7,42"
Mulholland Drive,Mulholland Dr.,2001,"7,42"
Zniewolony. 12 Years a Slave,12 Years a Slave,2013,"7,42"
Dżentelmeni,The Gentlemen,2019,"7,42"
"Vabank II, czyli riposta",,1984,"7,42"
Control,,2007,"7,42"
Wyspa psów,Isle of Dogs,2018,"7,42"
Popiół i diament,,1958,"7,42"
Porozmawiaj z nią,Hable con ella,2002,"7,42"
Egzorcysta,The Exorcist,1973,"7,42"
Jeden dzień,One Day,2011,"7,42"
Powrót do przyszłości II,Back to the Future Part II,1989,"7,42"
12 prac Asteriksa,Les douze travaux d'Astérix,1976,"7,42"
Skazany na bluesa,,2005,"7,41"
Szkoła uczuć,A Walk to Remember,2002,"7,41"
Zanim się pojawiłeś,Me Before You,2016,"7,41"
Ukryte działania,Hidden Figures,2016,"7,41"
Harry Potter i Zakon Feniksa,Harry Potter and the Order of the Phoenix,2007,"7,41"
Pokuta,Atonement,2007,"7,41"
Miasto aniołów,City of Angels,1998,"7,41"
Anastazja,Anastasia,1997,"7,41"
Plac Zbawiciela,,2006,"7,41"
Skazaniec,Felon,2008,"7,41"
Planeta skarbów,Treasure Planet,2002,"7,41"
Szybcy i wściekli,The Fast and the Furious,2001,"7,41"
Kanał,,1956,"7,41"
Świadek oskarżenia,Witness for the Prosecution,1957,"7,41"
Strażnicy Galaktyki,Guardians of the Galaxy,2014,"7,41"
Bracia,Brothers,2009,"7,40"
Lepiej być nie może,As Good as It Gets,1997,"7,40"
Kolekcjoner kości,The Bone Collector,1999,"7,40"
Who Am I. Możesz być kim chcesz,Who Am I - Kein System ist sicher,2014,"7,40"
V jak Vendetta,V for Vendetta,2005,"7,40"
Captain Fantastic,,2016,"7,40"
Dirty Dancing,,1987,"7,40"
Powrót do przyszłości,Back to the Future,1985,"7,40"
Prosta historia,The Straight Story,1999,"7,40"
Erin Brockovich,,2000,"7,40"
Motyl i skafander,Le scaphandre et le papillon,2007,"7,40"
Ostatni król Szkocji,The Last King of Scotland,2006,"7,40"
Siedmiu wspaniałych,The Magnificent Seven,1960,"7,40"
Czekolada,Chocolat,2000,"7,39"
Ucieczka z Alcatraz,Escape from Alcatraz,1979,"7,39"
Vaiana: Skarb oceanu,Moana,2016,"7,39"
Spacer po linie,Walk the Line,2005,"7,39"
Pocahontas,,1995,"7,39"
Niech będzie teraz,Now Is Good,2012,"7,39"
Gwiazd naszych wina,The Fault in Our Stars,2014,"7,39"
Straight Outta Compton,,2015,"7,39"
Przetrwać w Nowym Jorku,The Basketball Diaries,1995,"7,39"
Co się wydarzyło w Madison County,The Bridges of Madison County,1995,"7,39"
Sin City - Miasto grzechu,Sin City,2005,"7,39"
Miłość,Amour,2012,"7,39"
Zawrót głowy,Vertigo,1958,"7,39"
Siedem lat w Tybecie,Seven Years in Tibet,1997,"7,38"
Obiecująca. Młoda. Kobieta.,Promising Young Woman,2020,"7,38"
Kapitan Ameryka: Wojna bohaterów,Captain America: Civil War,2016,"7,38"
Pasja,The Passion of the Christ,2004,"7,38"
Projektantka,The Dressmaker,2015,"7,38"
25 lat niewinności. Sprawa Tomka Komendy,,2020,"7,38"
Kill Bill 2,Kill Bill: Vol. 2,2004,"7,38"
Dom dusz,The House of the Spirits,1993,"7,38"
Armageddon,,1998,"7,38"
Król rozrywki,The Greatest Showman,2017,"7,38"
Akira,,1988,"7,37"
Toy Story,,1995,"7,37"
Truman Show,The Truman Show,1998,"7,37"
Pieskie popołudnie,Dog Day Afternoon,1975,"7,37"
Coś,The Thing,1982,"7,37"
